episode,total_reward,score,steps,epsilon
74,-10.0,0,1,0.8605787075367288
75,-10.135914001464844,0,58,0.8588575501216553
76,-6.970027008056643,0,75,0.857139835021412
77,-7.987606811523442,0,189,0.8554255553513692
78,-16.076155090332055,0,702,0.8537147042406664
79,-7.273857498168946,0,141,0.8520072748321851
80,-11.157857055664069,0,201,0.8503032602825207
81,-9.550813293457034,0,66,0.8486026537619556
82,-9.625761718750002,0,52,0.8469054484544317
83,-10.313270568847663,0,100,0.8452116375575228
84,-10.631939392089851,0,174,0.8435212142824078
85,-10.776115417480478,0,177,0.841834171853843
86,-12.4859457397461,0,274,0.8401505035101353
87,-7.610436553955084,0,128,0.838470202503115
88,-12.747008361816423,0,397,0.8367932620981088
89,-10.892804260253916,0,136,0.8351196755739125
90,-11.990107421875006,0,276,0.8334494362227647
91,-10.762571105957036,0,118,0.8317825373503192
92,-9.719635009765625,0,64,0.8301189722756185
93,-11.25611297607423,0,210,0.8284587343310672
94,-9.84799072265625,0,87,0.8268018168624051
95,-11.31729217529298,0,241,0.8251482132286803
96,-10.135588684082046,0,333,0.823497916802223
97,-8.465039520263673,0,189,0.8218509209686186
98,-6.718080368041996,0,143,0.8202072191266814
99,-10.397587890625005,0,116,0.818566804688428
100,-11.906006774902348,0,277,0.8169296710790511
101,-9.550272521972657,0,58,0.815295811736893
102,-9.547064514160157,0,34,0.8136652201134192
103,-10.93918334960938,0,128,0.8120378896731923
104,-8.619220733642583,0,288,0.8104138138938459
105,-10.014234619140629,0,71,0.8087929862660582
106,-10.241728210449224,0,85,0.8071754002935261
107,-7.711450805664058,0,159,0.805561049492939
108,-11.907180786132818,0,285,0.8039499273939532
109,-11.092149047851567,0,201,0.8023420275391653
110,-10.0,0,1,0.800737343484087
111,-11.901860961914078,0,283,0.7991358687971188
112,-9.426604614257814,0,36,0.7975375970595246
113,-10.846478271484374,0,143,0.7959425218654056
114,-10.938244628906252,0,211,0.7943506368216747
115,-9.578404235839844,0,69,0.7927619355480314
116,-7.668114624023442,0,94,0.7911764116769353
117,-9.5964794921875,0,18,0.7895940588535815
118,-10.09859283447266,0,88,0.7880148707358743
119,-6.836614303588867,0,102,0.7864388409944025
120,-9.49714538574219,0,39,0.7848659633124138
121,-10.0,0,1,0.783296231385789
122,-10.529237365722663,0,140,0.7817296389230174
123,-15.683125000000022,0,677,0.7801661796451713
124,-9.323255920410157,0,18,0.778605847285881
125,-9.62720031738281,0,56,0.7770486355913092
126,-9.649755859374999,0,57,0.7754945383201266
127,-9.529298400878906,0,64,0.7739435492434863
128,-9.901563415527345,0,99,0.7723956621449993
129,-8.898473205566422,0,268,0.7708508708207094
130,-11.91744934082032,0,573,0.769309169079068
131,-9.447318725585939,0,65,0.7677705507409098
132,-12.440404052734387,0,275,0.766235009639428
133,-9.841939086914067,0,95,0.7647025396201492
134,-9.401236877441407,0,47,0.763173134540909
135,-14.642250061035172,0,560,0.7616467882718272
136,-9.56777282714844,0,48,0.7601234946952835
137,-11.723137207031254,0,281,0.7586032477058929
138,-9.308717651367187,0,24,0.7570860412104812
139,-10.201464233398442,0,131,0.7555718691280602
140,-11.204920043945318,0,214,0.7540607253898041
141,-10.0,0,1,0.7525526039390245
142,-9.564534301757824,0,330,0.7510474987311464
143,-12.67687744140626,0,392,0.7495454037336841
144,-10.953634185791035,0,439,0.7480463129262167
145,-9.923321838378907,0,83,0.7465502203003642
146,-8.379337463378915,0,196,0.7450571198597635
147,-11.512869873046883,0,233,0.743567005620044
148,-9.958195800781253,0,89,0.7420798716088038
149,-13.483537902832046,0,440,0.7405957118655863
150,-7.814515075683596,0,155,0.7391145204418551
151,-9.53204803466797,0,30,0.7376362914009714
152,-10.004325256347654,0,76,0.7361610188181695
153,-10.0,0,1,0.7346886967805332
154,-9.719969787597655,0,93,0.733219319386972
155,-6.32921928405762,0,94,0.7317528807481981
156,-11.865927429199235,0,281,0.7302893749867018
157,-9.658499450683594,0,59,0.7288287962367284
158,-9.035493469238283,0,26,0.727371138644255
159,-7.190426559448241,0,204,0.7259163963669665
160,-9.360666809082032,0,19,0.7244645635742325
161,-11.164801330566414,0,211,0.723015634447084
162,-7.748074645996098,0,164,0.7215696031781899
163,-10.0,0,1,0.7201264639718334
164,-6.852471466064452,0,74,0.7186862110438897
165,-13.641312561035168,0,390,0.717248838621802
166,-10.0,0,1,0.7158143409445584
167,-10.20843688964844,0,79,0.7143827122626694
168,-10.0,0,1,0.7129539468381441
169,-9.957771606445315,0,87,0.7115280389444678
170,-7.018433532714845,0,106,0.7101049828665789
171,-7.294389801025391,0,110,0.7086847729008457
172,-10.937771301269535,0,185,0.707267403355044
173,-10.550764465332032,0,130,0.705852868548334
174,-13.719989013671881,0,483,0.7044411628112373
175,-13.09867248535157,0,398,0.7030322804856147
176,-8.782629852294923,0,223,0.7016262159246435
177,-9.492169494628905,0,41,0.7002229634927942
178,-9.82664978027344,0,102,0.6988225175658086
179,-6.837286682128909,0,82,0.697424872530677
180,-10.0,0,1,0.6960300227856157
181,-10.67683624267578,0,144,0.6946379627400444
182,-10.527360534667972,0,163,0.6932486868145643
183,-7.13950180053711,0,110,0.6918621894409351
184,-9.662720031738282,0,55,0.6904784650620532
185,-9.139392700195312,0,16,0.6890975081319292
186,-9.611155090332032,0,62,0.6877193131156653
187,-7.292944488525393,0,108,0.6863438744894339
188,-9.790813293457036,0,90,0.684971186740455
189,-7.143272705078131,0,139,0.6836012443669741
190,-9.634167480468752,0,53,0.6822340418782402
191,-8.220403137207038,0,217,0.6808695737944838
192,-7.505099639892581,0,93,0.6795078346468948
193,-9.994926452636719,0,63,0.678148818977601
194,-10.0,0,1,0.6767925213396458
195,-7.719111633300788,0,87,0.6754389362969666
196,-7.185649719238281,0,48,0.6740880584243727
197,-7.0327327728271545,0,135,0.6727398823075239
198,-9.147127227783209,0,259,0.6713944025429088
199,-10.296392211914064,0,58,0.670051613737823
200,-10.360005340576182,0,401,0.6687115105103473
201,-9.566228332519529,0,31,0.6673740874893266
202,-12.046283874511724,0,264,0.6660393393143479
203,-10.0,0,1,0.6647072606357192
204,-9.715793151855474,0,61,0.6633778461144477
205,-10.399466857910161,0,97,0.6620510904222189
206,-9.970634155273439,0,89,0.6607269882413744
207,-6.96569694519043,0,110,0.6594055342648917
208,-12.688918151855475,0,332,0.6580867231963619
209,-10.0,0,1,0.6567705497499692
210,-11.172289733886728,0,189,0.6554570086504692
211,-9.133869323730467,0,24,0.6541460946331682
212,-9.124798889160157,0,22,0.6528378024439019
213,-7.617827911376957,0,119,0.6515321268390141
214,-10.582161560058594,0,150,0.6502290625853361
215,-10.875657958984377,0,122,0.6489286044601654
216,-9.563375396728517,0,327,0.6476307472512451
217,-12.345623779296885,0,228,0.6463354857567426
218,-6.164867553710939,0,63,0.6450428147852291
219,-6.432923965454104,0,52,0.6437527291556586
220,-6.863554382324218,0,104,0.6424652236973473
221,-9.667967224121096,0,68,0.6411802932499525
222,-7.9628926086425835,0,178,0.6398979326634526
223,-13.190824584960946,0,326,0.6386181367981257
224,-7.427170257568364,0,113,0.6373409005245295
225,-9.198903198242188,0,30,0.6360662187234805
226,-10.166684570312501,0,70,0.6347940862860335
227,-9.51928009033203,0,35,0.6335244981134615
228,-8.252020111083985,0,160,0.6322574491172346
229,-7.580989227294926,0,84,0.6309929342190002
230,-9.915075378417969,0,30,0.6297309483505622
231,-12.115074691772474,0,659,0.6284714864538611
232,-7.495104980468751,0,92,0.6272145434809534
233,-11.309067687988293,0,245,0.6259601143939915
234,-10.558613891601583,0,404,0.6247081941652035
235,-7.421327209472661,0,175,0.6234587777768731
