episode,total_reward,score,steps,epsilon
0,-0.40194885253903756,0,254,0.997
1,-2.2736151123046824,0,93,0.994009
2,-1.136958618164071,0,52,0.991026973
3,2.4669226074219033,0,66,0.988053892081
4,-0.13787536621094088,0,29,0.985089730404757
5,-1.115853881835899,0,136,0.9821344612135428
6,0.380852966308626,0,95,0.9791880578299021
7,0.5518832397461058,0,40,0.9762504936564125
8,-2.392647705078048,0,317,0.9733217421754432
9,-1.8747982788084654,0,500,0.9704017769489168
10,-2.514321899413972,0,298,0.9674905716180701
11,-0.5609399414062448,0,25,0.9645880999032158
12,-0.6283837890624033,0,296,0.9616943356035061
13,11.056349792480546,2,209,0.9588092525966956
14,-0.2743200683593585,0,85,0.9559328248389055
15,-0.3210156249999905,0,91,0.9530650263643888
16,-0.3014550781250058,0,81,0.9502058312852957
17,-0.00747314453124126,0,69,0.9473552137914398
18,-0.7480450439452984,0,26,0.9445131481500655
19,0.527230834960994,0,264,0.9416796087056153
20,-0.5450579833984053,0,136,0.9388545698794984
21,-3.476779174804684,0,165,0.93603800616986
22,-0.17109069824218448,0,20,0.9332298921513504
23,-0.4776446533203069,0,104,0.9304302024748964
24,0.5912106323242252,0,30,0.9276389118674717
25,-2.5863940429685743,0,553,0.9248559951318693
26,-0.729124755859373,0,78,0.9220814271464737
27,-0.1723089599608949,0,101,0.9193151828650342
28,0.4201416015625137,0,166,0.9165572373164391
29,9.888118591308611,2,175,0.9138075656044898
30,1.1356515502929883,0,59,0.9110661429076764
31,-0.996248779296879,0,93,0.9083329444789534
32,-0.8126165771484253,0,45,0.9056079456455165
33,7.53882324218773,2,680,0.90289112180858
34,-2.0729913330077716,0,218,0.9001824484431542
35,-2.3087432861327497,0,314,0.8974819010978248
36,0.27509765625002824,0,88,0.8947894553945313
37,0.9047546386719301,0,91,0.8921050870283477
38,0.44580963134770446,0,122,0.8894287717672626
39,8.832945861816485,2,451,0.8867604854519608
40,-1.5819421386718413,0,254,0.884100203995605
41,0.8746316528320559,0,95,0.8814479033836181
42,0.07521759033207953,0,170,0.8788035596734672
43,-0.35144592285155696,0,56,0.8761671489944468
44,-0.9767764282225553,0,388,0.8735386475474635
45,-1.2305584716796423,0,85,0.8709180316048211
46,0.5245602416992412,0,63,0.8683052775100066
47,-0.27796569824214945,0,206,0.8657003616774767
48,-1.4115744018553338,0,391,0.8631032605924442
49,-1.1035681152342822,0,358,0.860513950810667
50,-1.4190075683593664,0,37,0.857932408958235
51,0.12641326904299444,0,99,0.8553586117313603
52,-0.5467636108397702,0,267,0.8527925358961662
53,-1.8488366699218703,0,72,0.8502341582884777
54,-0.076600952148425,0,41,0.8476834558136123
55,8.151062622070349,2,138,0.8451404054461714
56,-0.714102172851538,0,141,0.8426049842298329
57,0.12913848876960188,0,275,0.8400771692771434
58,-0.022315063476542107,0,71,0.837556937769312
59,-1.2679266357421488,0,136,0.835044266956004
60,-0.42497497558591935,0,233,0.8325391341551359
61,-2.7720074462890656,0,78,0.8300415167526705
62,9.377341918945374,2,286,0.8275513922024125
63,-3.263133544921837,0,323,0.8250687380258053
64,-0.5740350341796416,0,74,0.8225935318117279
65,-1.3472583007811356,0,394,0.8201257512162927
66,-1.0975415039062084,0,157,0.8176653739626438
67,0.3694274902344006,0,84,0.8152123778407558
68,-0.6231451416015243,0,89,0.8127667407072335
69,2.875479431152363,0,59,0.8103284404851119
70,0.3072467041015621,0,34,0.8078974551636565
71,-1.6215362548827654,0,262,0.8054737627981655
72,0.4470385742188041,0,196,0.803057341509771
73,8.516465454101613,2,287,0.8006481694852418
74,-1.689467773437423,0,485,0.798246224976786
75,-0.3250427246093617,0,86,0.7958514863018556
76,0.4419186401367341,0,61,0.79346393184295
77,0.15250244140627078,0,75,0.7910835400474212
78,-0.45959533691405063,0,24,0.7887102894272789
79,-0.28543090820310724,0,105,0.7863441585589971
80,-0.22450500488276148,0,87,0.78398512608332
81,-2.311719970703107,0,87,0.7816331707050701
82,-1.8015954589843686,0,223,0.7792882711929549
83,1.8949044799804753,0,51,0.776950406379376
84,0.2757968139648659,0,51,0.7746195551602378
85,-1.3840466308593156,0,326,0.7722956964947572
86,-1.8292602539062037,0,177,0.7699788094052729
87,0.027107543945342982,0,38,0.767668872977057
88,-5.0,0,1,0.7653658663581259
89,0.10178497314457946,0,257,0.7630697687590515
90,8.359959106445373,2,355,0.7607805594527743
91,-2.969498901367149,0,89,0.7584982177744161
92,8.042685241699383,2,717,0.7562227231210928
93,7.220078735351629,2,423,0.7539540549517295
94,-0.5144909667968438,0,98,0.7516921927868743
95,-1.5073400878905487,0,209,0.7494371162085136
96,0.37579528808594276,0,31,0.747188804859888
97,-0.26938049316402957,0,198,0.7449472384453084
98,-0.169949340820299,0,131,0.7427123967299725
99,-0.13654876708979735,0,172,0.7404842595397826
100,-0.5424942016600847,0,309,0.7382628067611632
101,-0.6715679931640626,0,31,0.7360480183408797
102,1.240983276367202,0,53,0.7338398742858571
103,-0.9081304931639718,0,282,0.7316383546629995
104,-2.6311145019530975,0,121,0.7294434395990105
105,-1.2830346679686682,0,242,0.7272551092802134
106,-0.34533203124996703,0,84,0.7250733439523728
107,-2.205174560546838,0,127,0.7228981239205157
108,-0.9387161254881473,0,417,0.7207294295487541
109,-0.4202697753906204,0,87,0.7185672412601078
110,-0.8858648681640515,0,35,0.7164115395363275
111,2.181531066894536,0,54,0.7142623049177186
112,-0.22869445800770372,0,155,0.7121195180029655
113,0.4514587402344148,0,95,0.7099831594489566
114,-0.2385748291015446,0,29,0.7078532099706097
115,-1.4090069580077351,0,270,0.7057296503406979
116,0.11177734375000004,0,23,0.7036124613896758
117,13.158019409179701,2,168,0.7015016240055068
118,-2.0497650146483823,0,230,0.6993971191334902
119,-1.388289184570271,0,208,0.6972989277760897
120,11.250075378417925,2,167,0.6952070309927615
121,-0.6206976318359239,0,43,0.6931214098997832
122,0.3119982910156418,0,55,0.6910420456700839
123,1.4047760009765495,0,95,0.6889689195330736
124,-0.7125775146483786,0,155,0.6869020127744744
125,-2.62481933593745,0,292,0.684841306736151
126,0.12117919921880738,0,124,0.6827867828159425
127,1.6285678100586196,0,122,0.6807384224674947
128,-0.6988214111328013,0,87,0.6786962072000923
129,-0.2527148437499074,0,235,0.676660118578492
130,-0.5923898315429437,0,198,0.6746301382227565
131,-0.7960736083984346,0,30,0.6726062478080883
132,0.051378784179718195,0,40,0.6705884290646641
133,-5.0,0,1,0.66857666377747
134,-2.421792602538935,0,469,0.6665709337861376
135,-2.278552246093745,0,189,0.6645712209847792
136,-0.03486206054687546,0,32,0.6625775073218249
137,-0.7708517456054045,0,239,0.6605897747998594
138,2.254433746337921,0,324,0.6586080054754598
139,-0.2452648925781098,0,64,0.6566321814590335
140,1.1058163452148584,0,30,0.6546622849146564
141,8.76914123535155,2,265,0.6526982980599124
142,-0.017558593749948948,0,299,0.6507402031657327
143,0.1958758544921988,0,75,0.6487879825562355
144,-5.0,0,1,0.6468416186085668
145,0.28306579589845793,0,98,0.6449010937527411
146,-1.3921014404296708,0,60,0.6429663904714829
147,-5.0,0,1,0.6410374913000684
148,-0.31380432128907554,0,33,0.6391143788261682
149,-1.753765869140532,0,572,0.6371970356896897
150,-2.463438110351434,0,641,0.6352854445826206
151,-0.026744689941320843,0,246,0.6333795882488727
152,-5.105686035156188,0,333,0.6314794494841262
153,6.647786865234355,2,577,0.6295850111356738
154,-0.33456665039060507,0,101,0.6276962561022668
155,-2.5615191650389546,0,399,0.62581316733396
156,-0.03267211914059054,0,122,0.623935727831958
157,0.28925018310547124,0,23,0.6220639206484622
158,0.9972961425781408,0,42,0.6201977288865168
159,-1.3095007324218613,0,132,0.6183371356998573
160,1.1595965576172054,0,69,0.6164821242927577
161,-0.46954284667968516,0,103,0.6146326779198794
162,-3.1370147705077813,0,233,0.6127887798861198
163,-2.528806762695298,0,259,0.6109504135464614
164,-1.4465411376952906,0,255,0.609117562305822
165,-2.135809326171838,0,169,0.6072902096189046
166,0.21956207275394135,0,124,0.6054683389900478
167,-1.2132812499999615,0,234,0.6036519339730777
168,0.054895324707066706,0,137,0.6018409781711584
169,-4.541661987304523,0,522,0.6000354552366449
170,0.4092370605468938,0,96,0.598235348870935
171,-1.4550238037109104,0,326,0.5964406428243222
172,-3.556129760742114,0,572,0.5946513208958493
173,-2.3123535156249866,0,74,0.5928673669331617
174,0.4219345092773512,0,65,0.5910887648323622
175,-0.926991577148363,0,217,0.5893154985378651
176,0.18638031005867806,0,229,0.5875475520422515
177,-1.019519653320228,0,272,0.5857849093861247
178,0.6186929321289094,0,65,0.5840275546579663
179,-0.6035552978515231,0,102,0.5822754719939924
180,-3.2040429687498357,0,640,0.5805286455780104
181,-0.18291381835937237,0,44,0.5787870596412764
182,-0.9537322998046722,0,135,0.5770506984623526
183,0.6808087158203353,0,154,0.5753195463669655
184,1.0502420043945602,0,62,0.5735935877278646
185,0.012662963867197341,0,138,0.571872806964681
186,0.03345031738282245,0,44,0.5701571885437869
187,-2.414667968749925,0,267,0.5684467169781556
188,-1.0985638427733373,0,284,0.5667413768272211
189,0.7211425781250371,0,60,0.5650411526967395
190,-0.24384521484371824,0,245,0.5633460292386493
191,-0.5305722045897596,0,264,0.5616559911509333
192,0.6382525634765548,0,30,0.5599710231774805
193,0.5333532714843745,0,61,0.5582911101079481
194,6.624738769531421,2,609,0.5566162367776242
195,-0.09803161621093981,0,63,0.5549463880672914
196,-1.5417791748046543,0,271,0.5532815489030894
197,-1.2445166015624478,0,120,0.5516217042563801
198,-0.887114257812466,0,215,0.549966839143611
199,-2.2473571777342904,0,463,0.5483169386261801
200,-0.7202691650390243,0,175,0.5466719878103016
201,-0.903846435546872,0,33,0.5450319718468707
202,-1.7201751708983544,0,223,0.5433968759313301
203,-0.3475350952148073,0,208,0.5417666853035361
204,-1.2128576660155899,0,173,0.5401413852476254
205,-0.12866607666013508,0,128,0.5385209610918825
206,0.4932553100586059,0,59,0.5369053982086068
207,-1.108685913085905,0,182,0.535294682013981
208,-1.869727783203078,0,296,0.5336887979679391
209,7.160178833007841,2,328,0.5320877315740353
210,0.17852722167969937,0,108,0.5304914683793133
211,-5.0,0,1,0.5288999939741753
212,-1.6898431396483797,0,416,0.5273132939922528
213,-1.609862670898441,0,44,0.525731354110276
214,-1.741475830078116,0,30,0.5241541600479452
215,-0.9920959472655388,0,177,0.5225816975678014
216,10.467878112792985,2,236,0.521013952475098
217,-0.08063476562498728,0,87,0.5194509106176727
218,-0.20949707031250586,0,51,0.5178925578858197
219,0.42537200927735785,0,163,0.5163388802121622
220,-0.18725372314449018,0,162,0.5147898635715258
221,-0.26029876708980915,0,141,0.5132454939808112
222,-0.21601257324216938,0,70,0.5117057574988688
223,0.8421871948242234,0,20,0.5101706402263723
224,10.333760681152404,2,344,0.5086401283056932
225,-1.187407836914038,0,126,0.5071142079207761
226,-0.7656890869140476,0,37,0.5055928652970137
227,-0.6369415283202757,0,65,0.5040760867011227
228,0.6713980102539123,0,137,0.5025638584410194
229,0.2017892456054824,0,66,0.5010561668656963
