episode,total_reward,score,steps,epsilon
0,-12.44326080322266,0,362,0.997
1,-9.195914077758793,0,64,0.994009
2,-10.705815811157231,0,208,0.991026973
3,-12.970875549316421,2,286,0.988053892081
4,-12.725692138671876,0,316,0.985089730404757
5,-12.95864776611329,0,370,0.9821344612135428
6,-9.538903198242188,0,64,0.9791880578299021
7,-8.002731323242193,0,184,0.9762504936564125
8,-13.456141052246117,0,386,0.9733217421754432
9,-8.36833557128907,0,223,0.9704017769489168
10,-11.414545288085945,0,201,0.9674905716180701
11,-12.469165649414071,0,324,0.9645880999032158
12,-12.249828186035163,0,366,0.9616943356035061
13,-9.54104522705078,0,61,0.9588092525966956
14,-11.802299194335944,0,186,0.9559328248389055
15,-9.669346008300781,0,59,0.9530650263643888
16,-9.564178466796877,0,66,0.9502058312852957
17,-9.181010131835938,0,20,0.9473552137914398
18,-11.02475097656251,0,177,0.9445131481500655
19,-12.01303100585939,0,312,0.9416796087056153
20,-9.93680145263672,0,72,0.9388545698794984
21,-11.455637817382826,0,207,0.93603800616986
22,-10.206344909667969,0,107,0.9332298921513504
23,-10.861363220214844,0,163,0.9304302024748964
24,-16.970059509277363,0,805,0.9276389118674717
25,-9.85161315917969,0,93,0.9248559951318693
26,-10.117357177734377,0,120,0.9220814271464737
27,-9.509917297363282,0,62,0.9193151828650342
28,-10.376647644042974,0,76,0.9165572373164391
29,-9.268430328369146,0,261,0.9138075656044898
30,-10.33996215820313,0,123,0.9110661429076764
31,-10.244398498535157,0,124,0.9083329444789534
32,-9.426112976074219,0,27,0.9056079456455165
33,-13.323739013671887,0,428,0.90289112180858
34,-9.429732055664065,0,31,0.9001824484431542
35,-10.5997055053711,0,149,0.8974819010978248
36,-10.080619201660161,0,100,0.8947894553945313
37,-9.91479888916016,0,101,0.8921050870283477
38,-9.360804748535156,0,32,0.8894287717672626
39,-10.200551452636718,0,133,0.8867604854519608
40,-10.025562133789064,0,97,0.884100203995605
41,-9.234172668457031,0,28,0.8814479033836181
42,-10.169254455566408,0,114,0.8788035596734672
43,-10.724900512695317,0,87,0.8761671489944468
44,-10.041125793457038,0,98,0.8735386475474635
45,-9.507817077636721,0,53,0.8709180316048211
46,-9.266585693359376,0,28,0.8683052775100066
47,-11.69475097656251,0,244,0.8657003616774767
48,-10.48069976806641,0,104,0.8631032605924442
49,-9.320095825195311,0,31,0.860513950810667
50,-9.406933288574221,0,49,0.857932408958235
51,-11.202535705566413,0,157,0.8553586117313603
52,-11.565833740234378,0,240,0.8527925358961662
53,-9.300862731933595,0,48,0.8502341582884777
54,-10.230436401367195,0,131,0.8476834558136123
55,-9.621776123046878,0,61,0.8451404054461714
56,-10.442913513183598,0,131,0.8426049842298329
57,-10.604974975585945,0,156,0.8400771692771434
58,-10.852122192382824,0,177,0.837556937769312
59,-11.336161193847662,0,247,0.835044266956004
60,-10.160634460449216,0,108,0.8325391341551359
61,-9.72096984863281,0,69,0.8300415167526705
62,-10.96611297607423,0,181,0.8275513922024125
63,-9.845901794433592,0,24,0.8250687380258053
64,-10.019549560546881,0,85,0.8225935318117279
65,-10.558541564941411,0,133,0.8201257512162927
66,-11.676878662109383,0,266,0.8176653739626438
67,-9.317772216796874,0,23,0.8152123778407558
68,-12.618750000000006,0,320,0.8127667407072335
69,-10.339078063964847,0,102,0.8103284404851119
70,-11.154304809570311,0,191,0.8078974551636565
71,-7.716023406982426,0,116,0.8054737627981655
72,-10.168094787597662,0,123,0.803057341509771
73,-9.926116027832036,0,87,0.8006481694852418
74,-9.45602783203125,0,20,0.798246224976786
75,-9.757597656250004,0,129,0.7958514863018556
76,-11.552815856933599,0,249,0.79346393184295
77,-10.640666809082033,0,147,0.7910835400474212
78,-11.239027099609377,0,166,0.7887102894272789
79,-12.206385803222668,0,281,0.7863441585589971
80,-14.777370605468766,0,486,0.78398512608332
81,-11.519296264648442,0,164,0.7816331707050701
82,-10.365003356933599,0,131,0.7792882711929549
83,-10.326604614257821,0,126,0.776950406379376
84,-10.450180358886723,0,79,0.7746195551602378
85,-10.055721130371097,0,64,0.7722956964947572
86,-10.771508636474623,0,470,0.7699788094052729
87,-11.517890014648447,0,180,0.767668872977057
88,-9.401860961914062,0,33,0.7653658663581259
89,-9.454633483886719,0,35,0.7630697687590515
90,-13.69057434082032,0,438,0.7607805594527743
91,-10.812910766601565,0,107,0.7584982177744161
92,-10.80946075439454,0,175,0.7562227231210928
93,-9.899701232910159,0,67,0.7539540549517295
94,-10.8162957763672,0,173,0.7516921927868743
95,-9.166583862304687,0,18,0.7494371162085136
96,-9.87172821044922,0,43,0.747188804859888
97,-7.442790985107424,0,82,0.7449472384453084
98,-9.50346710205078,0,49,0.7427123967299725
99,-7.739015960693355,0,118,0.7404842595397826
100,-9.98666717529297,0,107,0.7382628067611632
101,-9.790141601562501,0,72,0.7360480183408797
102,-10.802182922363283,0,177,0.7338398742858571
103,-11.536900024414066,0,249,0.7316383546629995
104,-11.076073608398445,0,177,0.7294434395990105
105,-9.434862670898438,0,39,0.7272551092802134
106,-9.856108703613282,0,70,0.7250733439523728
107,-11.181742858886722,0,179,0.7228981239205157
108,-10.220742187500003,0,30,0.7207294295487541
109,-9.739989013671881,0,85,0.7185672412601078
110,-11.248903198242198,0,235,0.7164115395363275
111,-10.897772216796882,0,159,0.7142623049177186
112,-9.63598052978516,0,95,0.7121195180029655
113,-9.481653442382814,0,58,0.7099831594489566
114,-10.461490478515632,0,107,0.7078532099706097
115,-10.679173278808598,0,145,0.7057296503406979
116,-10.18211364746094,0,105,0.7036124613896758
117,-10.535935668945317,0,103,0.7015016240055068
118,-9.960661926269536,0,79,0.6993971191334902
119,-9.25153533935547,0,24,0.6972989277760897
120,-9.27823455810547,0,30,0.6952070309927615
121,-8.946856384277345,0,19,0.6931214098997832
122,-9.748518066406254,0,64,0.6910420456700839
123,-10.075342712402344,0,56,0.6889689195330736
124,-10.825894470214847,0,177,0.6869020127744744
125,-12.786531372070321,0,352,0.684841306736151
126,-14.01953613281251,0,521,0.6827867828159425
127,-10.050712585449222,0,64,0.6807384224674947
128,-11.406085205078126,0,227,0.6786962072000923
129,-10.395970764160158,0,94,0.676660118578492
130,-9.914251098632812,0,65,0.6746301382227565
131,-9.510476989746097,0,32,0.6726062478080883
132,-10.27573883056641,0,101,0.6705884290646641
133,-9.69223602294922,0,70,0.66857666377747
134,-10.149572448730469,0,98,0.6665709337861376
135,-10.400618896484373,0,132,0.6645712209847792
136,-9.321549682617187,0,31,0.6625775073218249
137,-10.387583312988287,0,120,0.6605897747998594
138,-10.519995727539069,0,129,0.6586080054754598
139,-10.736604919433603,0,167,0.6566321814590335
140,-9.98932983398439,0,395,0.6546622849146564
141,-10.489238281250007,0,141,0.6526982980599124
142,-9.47611297607422,0,32,0.6507402031657327
143,-11.613029479980476,0,272,0.6487879825562355
144,-11.016295776367196,0,193,0.6468416186085668
145,-9.389529724121095,0,31,0.6449010937527411
146,-9.265798950195315,0,26,0.6429663904714829
147,-11.638169555664067,0,171,0.6410374913000684
148,-11.905262756347673,0,306,0.6391143788261682
149,-9.657866210937499,0,33,0.6371970356896897
150,-9.298715515136719,0,23,0.6352854445826206
151,-14.380113220214852,0,592,0.6333795882488727
152,-9.395878601074218,0,49,0.6314794494841262
153,-12.430268249511727,0,339,0.6295850111356738
154,-9.91890258789063,0,102,0.6276962561022668
